Feature 1,Feature 2,Correlation
GLASGOW,GLASGOW.1,1.0
marskość wątroby i nadciśnienie wrotne,niewydolność krążenia_NYHA IV,1.0
sodium chloride difference,sodium chloride difference tiss 1,1.0
II_std,II_rms,1.0
aVL_std,aVL_rms,1.0
V1_std,V1_rms,1.0
aVF_std,aVF_rms,1.0
V4_std,V4_rms,1.0
V3_std,V3_rms,1.0
V6_std,V6_rms,1.0
III_std,III_rms,1.0
I_std,I_rms,1.0
V2_std,V2_rms,1.0
aVR_std,aVR_rms,1.0
V5_std,V5_rms,1.0
BILI TISS 1,Bil (1. gaz. 1 TISS),0.9987821831625076
II_qrs_duration_var,aVF_qrs_duration_var,0.9903241813248251
V2_hrv_rmssd,V2_hrv_sdnn,0.9894161625531324
III_hrv_rmssd,III_hrv_sdnn,0.9860109641074838
V3_hrv_rmssd,V3_hrv_sdnn,0.9847845201419009
V1_hrv_rmssd,V1_hrv_sdnn,0.9846051073178789
V4_hrv_rmssd,V4_hrv_sdnn,0.9836221614873755
I_hrv_rmssd,I_hrv_sdnn,0.9832376290128702
aVR_hrv_rmssd,aVR_hrv_sdnn,0.982736834718166
V5_hrv_rmssd,V5_hrv_sdnn,0.9783835398487356
aVF_hrv_rmssd,aVF_hrv_sdnn,0.9779704447860643
aVL_hrv_rmssd,aVL_hrv_sdnn,0.9762347275199287
II_hrv_rmssd,II_hrv_sdnn,0.9723141705389898
II_qrs_duration_var,III_qrs_duration_var,0.9712744909098355
III_qrs_duration_var,aVF_qrs_duration_var,0.9712054639623832
V6_hrv_rmssd,V6_hrv_sdnn,0.9650271583821239
II_qrs_duration_var,V6_qrs_duration_var,0.9638830490769149
MAP 1sza doba,CTK rozkurczowe przyjęcie (TISS nr 1),0.9634352993928351
aVF_qrs_duration_var,V6_qrs_duration_var,0.963277092450669
III_qrs_duration_var,V6_qrs_duration_var,0.9567184809072737
MAP 1sza doba,CTK skurczowe przyjęcie (TISS nr 1),0.9470949480684716
V6_qrs_duration,V6_qrs_duration_var,0.9273133698247263
I_heart_rate,aVL_heart_rate,0.9251428639408432
III_st_level,aVF_st_level,0.9245960007248536
V5_heart_rate,V4_heart_rate,0.914571416129931
"argipresyna/empesin TAK=1, NIE=0 (TISS nr 1 godz. 0.00)",argipresyna dawka  (TISS nr 1 godz. 0.00),0.9050697154847911
V5_heart_rate,V6_heart_rate,0.9040187505789261
III_zero_crossings,aVF_zero_crossings,0.8994296437958942
II_st_level,aVF_st_level,0.8974333636079103
II_zero_crossings,aVF_zero_crossings,0.8953713228177276
V1_heart_rate,V2_heart_rate,0.8926698613541064
aVF_qrs_duration_var,V6_qrs_duration,0.8823514522561697
II_qrs_duration_var,V6_qrs_duration,0.8814732801273747
I_zero_crossings,aVR_zero_crossings,0.881329017033845
II_zero_crossings,aVR_zero_crossings,0.879808193196345
III_qrs_duration_var,V6_qrs_duration,0.8783894024550912
I_heart_rate,V4_heart_rate,0.8779985093649388
V6_heart_rate,V4_heart_rate,0.8702134110498461
II_rms,aVF_std,0.868950388316155
II_rms,aVF_rms,0.868950388316155
II_std,aVF_rms,0.868950388316155
II_std,aVF_std,0.868950388316155
III_r_amplitude,aVF_r_amplitude,0.8657421224750302
I_heart_rate,II_heart_rate,0.863522767312203
V2_shannon_entropy,V2_signal_complexity,0.8631731769936858
II_shannon_entropy,aVR_shannon_entropy,0.8619839379718028
aVR_shannon_entropy,aVR_signal_complexity,0.8616929573600064
aVR_qrs_duration,aVR_qrs_duration_var,0.8613234295171669
I_shannon_entropy,I_signal_complexity,0.8602143245744174
I_signal_complexity,aVR_signal_complexity,0.8594884087150191
V1_shannon_entropy,V1_signal_complexity,0.8581531222084244
III_zero_crossings,aVL_zero_crossings,0.8576241747482575
V3_shannon_entropy,V3_signal_complexity,0.8539492609794017
aVL_heart_rate,V4_heart_rate,0.8518949633269172
I_heart_rate,V5_heart_rate,0.8514160224775081
I_shannon_entropy,aVR_shannon_entropy,0.8512317776991486
II_signal_complexity,aVR_signal_complexity,0.8508996905725704
V3_heart_rate,V4_heart_rate,0.8495563092138372
III_shannon_entropy,III_signal_complexity,0.8488525413403137
aVL_zero_crossings,I_zero_crossings,0.8480417921147447
I_heart_rate,V6_heart_rate,0.8479188885033885
V5_signal_complexity,V4_signal_complexity,0.8468242802366774
V5_shannon_entropy,V5_signal_complexity,0.8467829646593921
V4_shannon_entropy,V4_signal_complexity,0.8448926887043575
II_p_amplitude_var,aVF_p_amplitude_var,0.8447844898227129
V3_heart_rate,V1_heart_rate,0.843740799941223
I_heart_rate,V3_heart_rate,0.8402159167405031
II_r_amplitude,aVF_r_amplitude,0.8388154841333004
I_heart_rate,V2_heart_rate,0.8380334461776273
II_shannon_entropy,aVF_shannon_entropy,0.8373875155128491
V1_heart_rate,V5_heart_rate,0.8373356273775754
II_zero_crossings,III_zero_crossings,0.8355619621211784
I_shannon_entropy,aVL_shannon_entropy,0.8349652792318937
V3_heart_rate,V2_heart_rate,0.8347195897663648
III_qrs_duration,III_qrs_duration_var,0.8345488374744429
II_p_amplitude,aVF_p_amplitude,0.8343223825712194
V2_heart_rate,V4_heart_rate,0.8303146321399923
V1_heart_rate,V4_heart_rate,0.8302993437737075
CTK skurczowe przyjęcie (TISS nr 1),CTK rozkurczowe przyjęcie (TISS nr 1),0.830069975637633
III_shannon_entropy,aVF_shannon_entropy,0.8290934621983523
V1_zero_crossings,aVR_zero_crossings,0.8288548817704379
aVF_qrs_duration,aVF_qrs_duration_var,0.8278271037967674
V5_signal_complexity,V6_signal_complexity,0.8277240153411727
aVR_zero_crossings,V6_zero_crossings,0.8276768643037591
III_rms,aVF_std,0.8270358197319642
III_std,aVF_rms,0.8270358197319642
III_std,aVF_std,0.8270358197319642
III_rms,aVF_rms,0.8270358197319642
II_zero_crossings,V6_zero_crossings,0.8269134716756499
II_shannon_entropy,II_signal_complexity,0.8258182552881991
aVL_heart_rate,V5_heart_rate,0.8257843924096804
V4_zero_crossings,V5_zero_crossings,0.8255952517529549
II_heart_rate,III_heart_rate,0.8253441241629491
II_heart_rate,aVL_heart_rate,0.8247641270321303
V5_zero_crossings,V6_zero_crossings,0.8245473290287824
V5_heart_rate,V2_heart_rate,0.8240605412415266
II_zero_crossings,V5_zero_crossings,0.8234499952296748
I_heart_rate,V1_heart_rate,0.8228601748671971
aVF_shannon_entropy,aVF_signal_complexity,0.8218703450877972
II_heart_rate,V5_heart_rate,0.8201845345839178
V6_shannon_entropy,V6_signal_complexity,0.8200094883320727
V5_shannon_entropy,V4_shannon_entropy,0.819980996337965
V1_zero_crossings,V2_zero_crossings,0.8179390393144262
II_heart_rate,aVF_heart_rate,0.8151734827194826
aVF_zero_crossings,aVR_zero_crossings,0.8151189641691279
V3_shannon_entropy,V4_shannon_entropy,0.814510293639356
aVL_shannon_entropy,aVL_signal_complexity,0.8140307871992325
I_heart_rate,aVR_heart_rate,0.813534205339573
aVL_heart_rate,V6_heart_rate,0.8129606793070641
aVR_zero_crossings,V5_zero_crossings,0.8121546593243135
V6_heart_rate,V2_heart_rate,0.812068011526696
III_shannon_entropy,aVL_shannon_entropy,0.8118899821772092
III_p_amplitude,aVF_p_amplitude,0.8101081589137428
aVL_zero_crossings,aVF_zero_crossings,0.8099661232357767
aVL_heart_rate,V3_heart_rate,0.809217308392158
aVL_heart_rate,V2_heart_rate,0.8090029926182295
II_heart_rate,V4_heart_rate,0.807401519781004
II_zero_crossings,I_zero_crossings,0.8067943386270886
V2_zero_crossings,V3_zero_crossings,0.8059290178079428
aVL_heart_rate,V1_heart_rate,0.80564560860272
V1_zero_crossings,I_zero_crossings,0.8050630076298221
aVL_zero_crossings,aVR_zero_crossings,0.8042186235802145
aVR_heart_rate,aVL_heart_rate,0.8012768259149105
II_shannon_entropy,III_shannon_entropy,0.8008781172479658
V3_heart_rate,V5_heart_rate,0.8003929193708677
aVL_rms,I_std,0.7977404459865127
aVL_std,I_std,0.7977404459865127
aVL_std,I_rms,0.7977404459865127
aVL_rms,I_rms,0.7977404459865127
II_rms,aVR_std,0.7965531229517733
II_std,aVR_std,0.7965531229517733
II_std,aVR_rms,0.7965531229517733
II_rms,aVR_rms,0.7965531229517733
aVF_zero_crossings,V5_zero_crossings,0.7964210385245658
II_qrs_duration_var,aVF_qrs_duration,0.7964102523010574
I_zero_crossings,V5_zero_crossings,0.7961828996575087
aVF_zero_crossings,V6_zero_crossings,0.7943285969772862
II_qrs_duration,II_qrs_duration_var,0.7942457661534886
II_heart_rate,V6_heart_rate,0.7939185277390601
"choroby psychiczne (depresja, schizofrenia, otępienie)","choroby neurologiczne (Ch. Parkinsona, choroby nerwowo-mięśniowe)",0.7924570105155291
III_heart_rate,aVF_heart_rate,0.7917856679167707
I_signal_complexity,aVL_signal_complexity,0.7915549021558994
I_zero_crossings,V6_zero_crossings,0.79149639953391
V1_zero_crossings,V4_zero_crossings,0.7911400450465281
I_shannon_entropy,II_shannon_entropy,0.7892247712164722
II_zero_crossings,V4_zero_crossings,0.7885695074615284
V3_st_level,V4_st_level,0.7870023616631762
II_zero_crossings,V1_zero_crossings,0.7857900437111803
V5_shannon_entropy,V6_shannon_entropy,0.7854066368290054
III_p_amplitude_var,aVF_p_amplitude_var,0.7854000613944919
II_st_level,III_st_level,0.7852258785283408
II_qrs_duration,aVF_qrs_duration,0.784295934866602
V3_shannon_entropy,V2_shannon_entropy,0.7839761037091904
aVF_zero_crossings,V4_zero_crossings,0.7836958086769198
V4_zero_crossings,I_zero_crossings,0.7836823822662682
III_rms,aVL_rms,0.7832953962264062
III_std,aVL_std,0.7832953962264062
III_std,aVL_rms,0.7832953962264062
III_rms,aVL_std,0.7832953962264062
II_shannon_entropy,V6_shannon_entropy,0.7832866040591104
V4_zero_crossings,aVR_zero_crossings,0.7829955280997941
II_zero_crossings,aVL_zero_crossings,0.7825035095926922
V1_heart_rate,V6_heart_rate,0.7799866905904417
aVR_shannon_entropy,aVF_shannon_entropy,0.7798632404556296
V1_zero_crossings,V5_zero_crossings,0.7795683457402645
aVR_heart_rate,V5_heart_rate,0.779108734593709
V4_zero_crossings,V6_zero_crossings,0.7776010128639644
V4_zero_crossings,V3_zero_crossings,0.7773249391430836
I_st_level,aVL_st_level,0.7772014824442128
II_shannon_entropy,V5_shannon_entropy,0.7746404881926661
V3_heart_rate,V6_heart_rate,0.7741647830378091
I_heart_rate,III_heart_rate,0.7737253073438287
aVF_qrs_duration,V6_qrs_duration_var,0.7735183209657497
III_zero_crossings,aVR_zero_crossings,0.7728853090208002
III_qrs_duration_var,aVF_qrs_duration,0.7728712635554992
III_zero_crossings,I_zero_crossings,0.771159314934734
aVR_signal_complexity,V6_signal_complexity,0.7703705798619617
Na (1. gaz. 1 TISS),Cl (1. gaz. 1 TISS),0.7696141745734213
V1_zero_crossings,V3_zero_crossings,0.7691060090669134
II_qrs_duration,V6_qrs_duration,0.768980331348168
III_zero_crossings,V5_zero_crossings,0.7688783047233069
V1_zero_crossings,V6_zero_crossings,0.7683826765038283
I_signal_complexity,aVR_shannon_entropy,0.7682545737197398
III_zero_crossings,V6_zero_crossings,0.768029686376419
I_std,aVR_std,0.7665315369491456
I_rms,aVR_std,0.7665315369491456
I_std,aVR_rms,0.7665315369491456
I_rms,aVR_rms,0.7665315369491456
aVR_heart_rate,V4_heart_rate,0.7659619528923391
II_t_amplitude,aVF_t_amplitude,0.7658017962707335
aVR_shannon_entropy,V6_shannon_entropy,0.765798362908611
aVR_shannon_entropy,aVL_shannon_entropy,0.7654885481283201
II_heart_rate,V2_heart_rate,0.7654658442494122
aVF_zero_crossings,I_zero_crossings,0.7654385233371434
II_qrs_duration,aVF_qrs_duration_var,0.7650183688177025
II_heart_rate,V1_heart_rate,0.7643560989220715
V3_signal_complexity,V2_signal_complexity,0.7639345032547349
V4_zero_crossings,V2_zero_crossings,0.7633314233987815
aVF_zero_crossings,V1_zero_crossings,0.7630131598767717
II_heart_rate,aVR_heart_rate,0.7626512077874557
III_qrs_duration,V6_qrs_duration_var,0.7625779043371936
aVL_zero_crossings,V1_zero_crossings,0.7624705064463979
V5_qrs_duration,V5_qrs_duration_var,0.7608185932414943
aVR_zero_crossings,V2_zero_crossings,0.7599228328396757
V5_shannon_entropy,V4_signal_complexity,0.759572068936384
I_shannon_entropy,III_shannon_entropy,0.7594141104174028
I_r_amplitude,aVL_r_amplitude,0.7591888625061392
II_signal_complexity,aVR_shannon_entropy,0.758103000704386
aVF_heart_rate,V5_heart_rate,0.7562949518500265
II_signal_complexity,aVF_signal_complexity,0.7559178113249506
V6_shannon_entropy,V4_shannon_entropy,0.7555429433050329
aVR_shannon_entropy,V5_shannon_entropy,0.7552878409120838
III_signal_complexity,aVL_signal_complexity,0.7543454454207377
aVR_heart_rate,V3_heart_rate,0.7541723090346663
I_shannon_entropy,aVR_signal_complexity,0.7536472995779132
V3_signal_complexity,V4_signal_complexity,0.7534691592966921
I_signal_complexity,II_signal_complexity,0.7528783049324775
niewydolność krążenia_NYHA IV,niewydolność wątroby przewlekła,0.7513958143192226
marskość wątroby i nadciśnienie wrotne,niewydolność wątroby przewlekła,0.7513958143192226
III_heart_rate,aVL_heart_rate,0.7511538096777403
I_zero_crossings,V2_zero_crossings,0.7510855660204855
II_heart_rate,V3_heart_rate,0.7508292906330605
aVL_heart_rate,aVF_heart_rate,0.7505393324757572
III_skewness,aVF_skewness,0.749314002119772
II_zero_crossings,V2_zero_crossings,0.7490865425905681
"dopamina przyjęcie tak=1, nie = 0 (TISS nr 1)",dopamina  dawka (TISS nr 1),0.7490019175380734
I_signal_complexity,V6_signal_complexity,0.748066457367035
aVR_heart_rate,V1_heart_rate,0.7477084500542739
III_heart_rate,V5_heart_rate,0.7472301714566117
II_signal_complexity,V6_signal_complexity,0.7471290026723607
aVR_heart_rate,V2_heart_rate,0.7450418625079731
II_shannon_entropy,aVR_signal_complexity,0.7449282185713912
aVL_zero_crossings,V6_zero_crossings,0.7448797623080499
aVL_zero_crossings,V5_zero_crossings,0.7447788447723526
III_zero_crossings,V1_zero_crossings,0.7445465942025058
I_heart_rate,aVF_heart_rate,0.744380229178047
II_qrs_duration,V6_qrs_duration_var,0.7439708899057798
aVL_shannon_entropy,aVF_shannon_entropy,0.742679981353573
III_qrs_duration,aVF_qrs_duration_var,0.7426506601061839
III_heart_rate,V4_heart_rate,0.7425352069195006
III_shannon_entropy,aVR_shannon_entropy,0.7405788421973128
aVR_heart_rate,aVF_heart_rate,0.7403095749832388
II_qrs_duration_var,III_qrs_duration,0.7401287067338623
V5_shannon_entropy,V6_signal_complexity,0.7398576773421022
III_zero_crossings,V4_zero_crossings,0.7393702521237948
aVL_zero_crossings,V4_zero_crossings,0.7391519823694492
II_qrs_duration,III_qrs_duration_var,0.7380943697590537
V5_signal_complexity,V4_shannon_entropy,0.7376185705006099
I_shannon_entropy,V6_shannon_entropy,0.7373745572483178
aVR_heart_rate,V6_heart_rate,0.7345240088274186
aVL_zero_crossings,V2_zero_crossings,0.734474882487171
aVR_signal_complexity,V5_signal_complexity,0.73431049892328
aVF_zero_crossings,V3_zero_crossings,0.7339223285990226
aVF_zero_crossings,V2_zero_crossings,0.7336547999240844
aVF_qrs_duration,V6_qrs_duration,0.7318991852251691
V3_shannon_entropy,V5_shannon_entropy,0.7302402039496664
V3_shannon_entropy,V4_signal_complexity,0.727269253327411
