,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
akcja serca przyjęcie (TISS nr 1),0.1357274922463313,0.005579433943334889,0.015902380244221134,0.004107876736909773,0.0008602150537634579,0.00111864589446745,0.00775161122172865,0.012756066931930498,0.004085902,0.007230869181767388,1.1830951262514808,0.005498952776791101,13.802274669130632,0.033552993113988405,19.0,13.0,6.0,8.0,7.5,58.0,20.0,5.0,31.0,10.0,5.0,9.0,11.0,47.0,17.821428571428573
FIO2 (TISS nr 1),0.20680518972865475,0.010255688469513536,0.012578572093253925,0.003676603670812519,0.0,0.0035901455722209897,0.019771931519385052,0.021678868001137327,0.0044505587,0.026531652902579996,3.2069904982545547,0.02332405541154425,25.642237122446573,0.03624156769585163,3.0,4.0,12.0,9.0,183.5,5.0,1.0,2.0,19.0,3.0,2.0,2.0,4.0,36.0,20.392857142857142
Lac (1. gaz. 1sza doba),0.1286086464067606,0.0046442726276616384,0.020052615811643398,0.008815460031639957,0.0,0.0019382161522149763,0.005735679036352347,0.006777064091567397,0.004557847,0.007200758555644187,1.0646352259818204,0.0066567836146313435,28.810065164436413,0.03530641906515286,22.0,21.0,4.0,4.0,183.5,23.0,41.0,14.0,15.0,12.0,8.0,8.0,2.0,40.0,28.392857142857142
sodium chloride difference tiss 3,0.2608278613998826,0.012222351007623831,0.03767502740057068,0.009940236678811672,0.0,0.0004918816751227653,0.01844107740907054,0.012620622696177577,0.0048676156,0.026872085798417336,3.9511964514169,0.0253612494964055,33.256045733334155,0.021519434698616058,1.0,2.0,2.0,3.0,183.5,111.0,2.0,6.0,9.0,2.0,1.0,1.0,1.0,79.0,28.821428571428573
pH (1. gaz. 1 TISS),0.09651081546676052,0.0028751072893746944,0.009580056204339903,0.0007542815629404831,0.0,0.003275310548576053,0.00761250781846198,0.013646636931555428,0.003694353,0.007559522479447332,1.1724585981214661,0.007054804452911595,22.485429027046063,0.03933278345353397,61.0,41.0,20.0,40.0,183.5,6.0,22.0,3.0,63.0,8.0,6.0,7.0,5.0,28.0,35.25
diureza w ml w ciągu pierwszych 6 godzin od przyjęcia ,0.0905680977547039,0.0008215448854872717,0.06712504879857137,0.02007554676822227,0.00021505376344086447,0.0,0.012066500577293722,0.0218590516627602,0.0057119075,0.03224084086936833,2.7357698612053207,0.022392241910877315,27.144747999757175,0.031131911485016373,72.0,102.0,1.0,1.0,11.0,257.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,55.0,37.0
WIEK,0.11558296486410742,0.002795974972164434,0.013546677552015014,0.001990831625278195,0.0,0.0013711667978280526,0.009985163556542288,0.005361271499806129,0.0045478567,0.0028995193153182964,0.9632127092569955,0.003380597294748792,19.414459874837657,0.003943024562112596,31.0,43.0,10.0,15.0,183.5,37.0,8.0,18.0,16.0,28.0,9.0,14.0,6.0,175.0,42.392857142857146
Sepsa (0/1),0.2386377094146429,0.022811216133368693,0.003492732362839977,3.3715661293200814e-05,0.0,0.006337108825780553,0.007266343980308463,0.012582075663461074,0.0029749866,0.007538016907835485,0.8369341333162277,0.007915872209190999,13.197156129788942,0.0457128279197232,2.0,1.0,88.0,86.0,183.5,1.0,23.0,7.0,155.0,9.0,10.0,6.0,13.0,18.0,43.035714285714285
Ca2+ (1. gaz. 1 TISS),0.11854111812662894,0.0023694931609759755,0.014521182248824687,0.007431792954499835,0.0015053763440860512,0.00032808794510419154,0.009825360687920262,0.00841366557704915,0.003815861,0.014318918744775044,0.5739839320080948,0.0018159516402935015,5.063628893603774,0.0,28.0,49.0,9.0,6.0,6.0,135.0,10.0,11.0,50.0,5.0,19.0,29.0,54.0,275.5,49.035714285714285
V2_t_amplitude,0.11644619232389604,0.004934573617715733,0.008523438912515073,0.002050175533280903,0.0,0.00023669954852105477,0.007893785317782266,0.009427017721970469,0.0041397563,0.005510959316676193,0.7738246380499626,0.00509357235768519,5.765581005091158,0.009823652606466116,29.0,20.0,23.0,14.0,183.5,153.0,19.0,10.0,29.0,19.0,13.0,10.0,43.0,140.0,50.392857142857146
V1_skewness,0.13039315087948045,0.00793836121238495,0.007225128247332819,0.0008710958890558202,0.0,0.0017687729234297084,0.014225944832608388,0.0038392501986694158,0.0040539084,0.0063502374558741925,0.7934884244555103,0.003142804049178383,11.11997314793152,0.0,21.0,7.0,29.0,35.0,183.5,27.0,3.0,32.0,35.0,15.0,12.0,17.0,17.0,275.5,50.642857142857146
BILI TISS 1,0.16381019522126386,0.005442356097915866,0.00488147109367892,0.0011624159664646355,0.0,0.004832087284945449,0.003596992840863846,0.0020341059588135316,0.0035480107,0.00613384082440181,0.8054000577726541,0.0029336401600325718,10.050632865351412,0.016242043336552436,6.0,14.0,56.0,28.0,183.5,2.0,103.0,66.0,86.0,16.0,11.0,20.0,21.0,100.0,50.892857142857146
bilans płynów w dobie przyjęcia (ml) (TISS 1),0.1000726443517189,0.0009299978613354652,0.019104511239156626,0.008173929208691613,0.0,0.0010596593734839314,0.010077278599511819,0.011599071562039093,0.0059037567,0.014906224772943118,1.1924716072324988,0.010380786211294324,18.3124453102892,0.0,56.0,97.0,5.0,5.0,183.5,62.0,7.0,9.0,1.0,4.0,4.0,5.0,8.0,275.5,51.57142857142857
V2_skewness,0.11199927242378115,0.006434285372644666,0.005710177751772477,0.0004361586648146332,0.0,0.0005670129426720822,0.0054369504187697015,0.0052184643184576265,0.004216974,0.007050719834086107,0.5067860336565576,0.0031749475292381355,7.560558380054073,0.012463797773838436,35.0,8.0,46.0,58.0,183.5,104.0,46.0,21.0,25.0,13.0,30.0,16.0,34.0,122.0,52.964285714285715
Bil (1. gaz. 1 TISS),0.15550770331216257,0.004983251479263578,0.010428124195743906,0.0005552955348072299,0.0,0.0038133747450044184,0.006189967016659919,0.0030568392988002723,0.0036107337,0.0,0.7476555794247178,0.0026656327479094104,9.693026134519782,0.02452631405737149,8.0,19.0,16.0,53.0,183.5,4.0,33.0,44.0,75.0,218.5,14.0,22.0,24.0,73.0,56.214285714285715
noradrenalina przyjęcie dawka ug/kg/min (TISS nr 1),0.028587616962575505,0.0,0.024258148178340343,0.01122434535724633,0.0,0.001052283640008303,0.006556155166033829,0.005121112914655055,0.004054705,0.0042522345353138615,1.170497958696853,0.015993164414037152,9.24640570429229,0.05419283915564521,234.0,239.0,3.0,2.0,183.5,63.0,27.0,24.0,34.0,22.0,7.0,4.0,26.0,7.0,62.535714285714285
BE (1. gaz. 1sza doba),0.0657668080430734,0.0011136473229791965,0.015332539381232201,0.0042151390262216305,0.0,0.0021488363690226517,0.009272583270283226,0.0018870687934714483,0.0029980738,0.0005047169109527217,0.5713776097496892,0.0015716828108818034,17.136134999683,0.01607370217021087,119.0,85.0,8.0,7.0,183.5,18.0,12.0,70.0,150.0,73.0,20.0,32.0,10.0,101.0,63.464285714285715
sodium chloride difference tiss 2,0.1435419964019097,0.002884444299661379,0.012950544859914228,0.002068654003335898,0.0,0.0,0.005212479312781353,0.0009624831904414548,0.0033977649,0.0007127388146328996,0.6092230896076971,0.0014279529214408537,18.12817281696022,0.0448068482543178,10.0,40.0,11.0,12.0,183.5,257.0,50.0,86.0,101.0,66.0,18.0,37.0,9.0,20.0,64.32142857142857
V1_heart_rate,0.14485641207640934,0.003164421832273299,0.011709116599795675,0.0005784147535735709,0.0,0.0,0.004935069281274207,0.0032797625441179945,0.0033139447,0.0034043116459415864,0.4517385824408495,0.0006681298184636225,19.35926388811646,0.04546521074645349,9.0,33.0,14.0,51.0,183.5,257.0,61.0,43.0,112.0,24.0,38.0,61.0,7.0,19.0,65.17857142857143
Hb (1. gaz. 1 TISS),0.14155783275392028,0.005985276867516132,0.0027423006506220437,0.0,0.0,0.004165284628321707,0.009331069641036591,0.00582017511169424,0.0029193077,0.009083734996566737,0.6488213183697865,0.003366628146906966,9.114723990477758,0.0,13.0,12.0,119.0,220.0,183.5,3.0,11.0,15.0,171.0,7.0,15.0,15.0,28.0,275.5,77.71428571428571
I_kurtosis,0.03440691222122274,0.0,0.007620516481904895,0.0011071834131192557,0.0,0.0010874838768727905,0.00992716987997965,0.0027968043333210053,0.0035473083,0.004433262056283669,0.37446664248994105,0.0013560593949263169,3.6930898344396033,0.03259197112498846,208.0,239.0,25.0,29.0,183.5,59.0,9.0,49.0,87.0,20.0,56.0,39.0,65.0,49.0,79.82142857142857
V2_std,0.09390054776724274,0.0018507540274360394,0.0052018734919427245,0.00016915333370881786,0.0,0.0007997882921588272,0.006195789584539765,0.013127181416775434,0.0032541554,0.010725757039200236,0.3041640893953073,0.0,1.9162239298850083,0.03429202336228854,67.0,64.0,52.0,78.0,183.5,82.0,32.0,4.0,122.0,6.0,95.0,226.5,114.5,44.0,83.60714285714286
V2_rms,0.09390054776724266,0.0023099458891153142,0.0009021090270168335,0.0,0.0,0.0006437666882541038,0.006276127296043725,0.0036265419336914935,0.0035880955,0.0030034279761711204,0.6258962892973199,0.0037603794925686043,1.9162239298850083,0.04306885003251626,68.0,52.0,220.0,220.0,183.5,97.0,29.0,36.0,79.0,26.0,16.0,12.0,114.5,25.0,84.14285714285714
III_kurtosis,0.10390392569954139,0.0019568074681112434,0.0037695022887506823,0.00031558359572878193,0.0,0.0,0.011436888720165309,0.005300111392898058,0.0033309024,0.0013520576606279658,0.5429619363409953,0.002820201568515154,8.645133597798118,0.0,49.0,60.0,76.0,66.0,183.5,257.0,5.0,19.0,110.0,49.0,24.0,21.0,31.0,275.5,87.57142857142857
V3_p_duration,0.10757548414048645,0.0014918081136541992,0.003563911345831293,0.0,0.0,0.0011800914785653344,0.003603392224071334,0.0010052204126347042,0.0031016986,0.0007125500959420457,0.31518628995619824,0.0006576730491297878,4.489554279940957,0.0656932993015571,44.0,72.0,83.0,220.0,183.5,54.0,102.0,83.0,138.0,67.0,82.0,63.0,59.0,4.0,89.60714285714286
pao2/fio2 1sza doba,0.10206213368396855,0.0,0.009770755128690531,0.0028442401576047483,0.0,0.0,0.008194114683100393,0.01193280923592941,0.0029643327,0.0061197599072595425,0.403708956297896,0.0005561439762928978,5.573058041150584,0.011372699337952152,55.0,239.0,19.0,10.0,183.5,257.0,17.0,8.0,160.0,17.0,45.0,78.0,45.0,128.0,90.10714285714286
aVR_p_duration,0.03359137107177545,0.0,0.005799476731043678,0.0008169521246379381,0.0,0.0020916569713166433,0.004957063343764475,0.0021027620993707345,0.0038969812,0.0024424246091221524,0.2579206177356336,0.0011008996740697254,3.2384895520947534,0.019487481584976596,212.0,239.0,45.0,38.0,183.5,19.0,58.0,62.0,46.0,32.0,140.0,50.0,77.0,89.0,92.17857142857143
